Title,Author,Price,Reviews,Weight,Language,User Rating,Pages
Introduction to Environmental Data Science (Chapman & Hall/CRC Data Science Series),,99.95,,1.74,English,1,399
"SQL Practice Problems: 57 beginning, intermediate, and advanced challenges for you to solve using a “learn-by-doing” approach",[ Sylvia Moestl Vasilik],27.49,493,0.6,English,3,125
Essential R For Data Analysis: Data manipulation and visualization using R for beginning and intermediate users,[ PBR Books],,3,,English,4,146
R in Action: Data Analysis and Graphics with R,[ Dr. Rob Kabacoff],51,254,1.98,English,4,608
Black Feminism in Qualitative Inquiry: A Mosaic for Writing Our Daughter's Body (Futures of Data Analysis in Qualitative Research),,38.81,51,0.5,English,5,146
Everyday Adventures with Unruly Data,[ Melanie Feinberg],35,,0.9,English,1,336
Machine Learning: A First Course for Engineers and Scientists,"[ Andreas Lindholm, Niklas Wahlström, et al.]",69.99,4,1.94,English,5,350
Python Data Analysis - Second Edition,[ Armando Fandango],51.99,9,1.25,English,2,330
Exploratory Data Analysis with MATLAB (Chapman & Hall/CRC Computer Science & Data Analysis),,41.49,3,,English,3,832
Malware Data Science: Attack Detection and Attribution,"[ Joshua Saxe,  and , Hillary Sanders]",44.83,93,1.37,English,4,272
"Econometric Analysis of Cross Section and Panel Data, second edition (The MIT Press)",[ Jeffrey M. Wooldridge],115,119,4.1,English,4,460
Become a Python Data Analyst: Perform exploratory data analysis and gain insight into scientific computing using Python,[ Alvaro Fuentes],24.99,10,0.7,English,5,178
Machine Learning Bookcamp: Build a portfolio of real-life projects,[ Alexey Grigorev],35.99,14,1.85,English,4,472
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,"[ Upom Malik, Matt Goldwasser, et al.]",27.88,234,1.32,English,3,386
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,,62.99,39,1.25,English,3,330
"Microsoft 365: 11 Books in 1: The Ultimate All-in-One Bible to Master Excel, Word, PowerPoint, Outlook, OneNote, OneDrive, Access, Publisher, SharePoint, Teams and Visio with Step-by-Step Tutorials",[ Benjamin Zeldovich],24.14,429,3.46,English,5,560
Excel 2022: The most updated bible to master Microsoft Excel from scratch in less than 7 minutes a day | Discover all the features & formulas with step-by-step tutorials,[ Leonard J. Ledger],19.7,735,0.8,English,3,149
Data Science from Scratch: First Principles with Python,[ Joel Grus],44.97,318,1.32,English,3,330
Doing Data Science: Straight Talk from the Frontline,"[ ""Cathy ONeil"",  and , Rachel Schutt]",26.44,175,1.2,English,3,408
"Excel Data Analysis: Your visual blueprint for analyzing data, charts, and PivotTables",[ Paul McFedries],8.09,19,1.35,English,3,0
An R Companion to Political Analysis,"[ Philip H. Pollock,  and , Barry Clayton Edwards]",69.06,,2.16,English,1,416
Data and Analytics for Instructional Designers,[ Megan Torrance],32.99,,1.11,English,1,240
The Workflow of Data Analysis Using Stata,[ J. Scott Long],75.95,46,1.79,English,4,379
Big Data in Healthcare: Statistical Analysis of the Electronic Health Record (1),[ Farrokh Alemi],90,6,2.54,English,4,553
Data Analysis for Database Design,[ David Howe],28.45,9,,English,5,336
Applying Quantitative Bias Analysis to Epidemiologic Data (Statistics for Biology and Health),,47.62,1,1.87,English,5,483
Data Analysis for the Life Sciences with R,"[ Rafael A. Irizarry,  and , Michael I. Love]",47.68,15,1.69,English,3,376
"Introduction to Mediation, Moderation, and Conditional Process Analysis: A Regression-Based Approach (Methodology in the Social Sciences)",,58.41,25,3.09,English,4,732
Data Smart: Using Data Science to Transform Information into Insight,[ John W. Foreman],21.21,347,1.6,English,4,432
Exploratory Data Analysis,[ John Tukey],99.99,23,0.22,English,4,712
Data Cartels: The Companies That Control and Monopolize Our Information,[ Sarah Lamdan],26,,0.75,English,1,224
"Data Analytics: Introduction and Guide to Data Science, Analysis, Artificial Intelligence and Machine Learning","[ Markus Schellander, Chris Johnson, et al.]",,,,,1,0
Business Analytics: Data Analysis & Decision Making - Standalone book,"[ S. Christian Albright,  and , Wayne L. Winston]",93.15,174,4.1,English,3,650
Network Security Through Data Analysis: From Data to Action,[ Michael Collins],9.02,17,1.64,English,4,428
Python for Data Analysis: Learn the Principles of Data Analysis and Raise Your Programming Iq. Improve Your Machine Learning Experience and Become a Skilled Programmer by Learning 10+ Coding Secrets,[ Robert Campbell],33.99,1,0.89,English,1,74
Start with Why: How Great Leaders Inspire Everyone to Take Action,,,26560,,,4,0
"Data Analysis & Probability: A Quickstudy Laminated Reference Guide (Math Fundamentals, 4)","[ Peggy Warren, Susan Wright, et al.]",6.11,1,0.15,English,5,6
"Excel 2022: Learn From Scratch with the Most Update Guide on Microsoft Excel Plus Step by Step Tutorial, Features and Formulas. 7 Minutes Crash Course Included",[ Robert Johnson],19.24,293,1.08,English,5,161
Learn Selenium: Build data-driven test frameworks for mobile and web applications with Selenium Web Driver 3,"[ Unmesh Gundecha,  and , Carl Cocchiaro]",49.99,13,2.01,English,3,536
Hands-On Graph Analytics with Neo4j: Perform graph processing and visualization techniques using connected data across your enterprise,[ Estelle Scifo],44.99,23,1.91,English,3,510
Recovering Black Storytelling in Qualitative Research (Futures of Data Analysis in Qualitative Research),,37.8,29,0.95,English,4,192
Python for Beginners: The Biggest Python Programming Crash Course for Beginners | Learn Python Coding Like a PRO in 7 Days! + Hands-On Workbook,[ PROGRAMMING LANGUAGES ACADEMY],17.95,292,1.19,English,3,205
Hands-On Data Analysis in R for Finance,[ Jean-Francois Collard],79.96,,,English,1,414
"Python for ArcGIS Pro: Automate cartography and data analysis using ArcPy, ArcGIS API for Python, Notebooks, and pandas","[ Silas Toms, Bill Parker, et al.]",59.84,51,2.19,English,4,586
Field Guide to Optomechanical Design and Analysis (Spie Field Guides),"[ Burge, James H., et al.]",42,7,0.49,English,3,168
Practical Data Analysis Using Jupyter Notebook: Learn how to speak the language of data by extracting useful and actionable insights using Python,"[ Marc Wintjen,  and , Andrew Vlahutin]",34.99,33,1.22,English,3,322
Introduction to Statistics and Data Analysis,"[ Roxy Peck, Chris Olsen, et al.]",15.1,53,4.37,English,4,0
Regression Analysis with R: Design and develop statistical nodes to identify unique relationships within data at scale,[ Giuseppe Ciaburro],41.99,12,1.59,English,3,422
Data and Analytics Strategy for Business: Unlock Data Assets and Increase Innovation with a Results-Driven Data Strategy,[ Simon Asplen-Taylor],34.99,3,1.1,English,4,328
POWER BI FOR BEGINNERS 2022: A SIMPLE AND DIRECT GUIDE TO DATA ANALYSIS USING POWER BI,[ RICHARD STEVE],9.99,7,0.28,English,3,49
"Accelerated Testing: Statistical Models, Test Plans, and Data Analysis (Wiley Series in Probability and Statistics)",[ Wayne B. Nelson],37,16,1.81,English,4,616
"Memory Dump Analysis Anthology, Volume 3, Revised Edition (Memory Dump Analysis Anthology (Diagnomicon))","[ Dmitry Vostokov,  and , Software Diagnostics Institute]",40,,1.16,English,1,396
Analysis of Economic Data,[ Gary Koop],62.78,14,1.07,English,3,272
Approximation Theory and Algorithms for Data Analysis (Texts in Applied Mathematics Book 68),,59.99,2,,English,4,368
Spreadsheet Modeling and Decision Analysis: A Practical Introduction to Business Analytics (MindTap Course List),[ Cliff Ragsdale],153.5,3,3.95,English,3,864
Probability and Computing: Randomization and Probabilistic Techniques in Algorithms and Data Analysis,"[ Michael Mitzenmacher,  and , Eli Upfal]",73.98,28,2.54,English,4,484
The Algorithm Design Manual (Texts in Computer Science),,73.99,260,3.46,English,4,810
"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science)",,35.95,40,2.35,English,3,624
Guerrilla Data Analysis Using Microsoft Excel: 2nd Edition Covering Excel 2010/2013,"[ Oz du Soleil,  and , Bill Jelen]",24.95,45,0.83,English,4,180
"Learning the Pandas Library: Python Tools for Data Munging, Analysis, and Visual",,19.99,78,0.64,English,3,212
Data Analysis with Open Source Tools: A Hands-On Guide for Programmers and Data Scientists,[ Philipp K. Janert],39.99,73,1.88,English,3,540
PYTHON DATA ANALYTICS: Advanced and Effective Strategies of Using Python Data Analytics,,,6,,English,3,131
The Art of Data Analysis: How to Answer Almost Any Question Using Basic Statistics,[ Kristin H. Jarman],63.52,29,0.66,English,4,192
Putting FACES on the Data: What Great Leaders and Teachers Do!,"[ Lyn D. Sharratt,  and , Michael Fullan]",40,,1.32,English,1,376
Astronomical Image and Data Analysis (Astronomy and Astrophysics Library),,158.55,,,English,1,352
Malware Analysis and Detection Engineering: A Comprehensive Approach to Detect and Analyze Modern Malware,"[ Abhijit Mohanta,  and , Anoop Saldanha]",68.86,81,3.9,English,4,457
Spatial Analysis with R,[ Tonny J. Oyana],101.01,1,1.81,English,5,354
R Graphics Cookbook: Practical Recipes for Visualizing Data,[ Winston Chang],54.97,82,1.55,English,4,444
A History of Data Visualization and Graphic Communication,"[ Michael Friendly,  and , Howard Wainer]",48.94,10,1.41,English,4,320
Murach's R for Data Analysis,[ Scott Mccoy],59.5,,2.07,English,1,576
Adjustment Computations: Spatial Data Analysis,[ Charles D. Ghilani],104.95,20,2.35,English,4,720
"Microsoft Office 365 for Beginners: 12 Books In 1. The Ultimate Guide to Master the Microsoft Suite the Quick & Easy Way | Including Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams and More",[ Jamie Keet],12.99,410,1.9,English,5,300
Practical Finite Element Simulations with SOLIDWORKS 2022: An illustrated guide to performing static analysis with SOLIDWORKS Simulation,[ Khameel B. Mustapha],46.99,4,1.8,English,5,480
DATA ANALYTICS: A Comprehensive Beginner’s Guide To Learn About The Realms Of Data Analytics From A-Z,,19.99,27,0.47,English,3,153
Data Analysis in High Energy Physics: A Practical Guide to Statistical Methods,"[ Olaf Behnke, Kevin Kröninger, et al.]",89,9,,English,5,658
Longitudinal Data Analysis,"[ Robert D. Gibbons,  and , Donald Hedeker]",155.57,8,1,English,5,360
"The Definitive Guide to DAX: Business Intelligence for Microsoft Power BI, SQL Server Analysis Services, and Excel Second Edition (Business Skills)",,43.99,1155,3,English,4,768
Statistical Analysis of Network Data with R (Use R!),,76.19,8,1,English,4,242
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",[ Martin Kleppmann],23.37,3443,2.15,English,5,611
Hands-on JavaScript for Python Developers: Leverage your Python knowledge to quickly learn JavaScript and advance your web development career,[ Sonyl Nagale],29.99,16,1.55,English,4,410
Excel: Pivot Tables & Charts (Quick Study Computer),[ Inc. BarCharts],5.95,1527,0.14,English,4,6
Building Big Data Pipelines with Apache Beam: Use a single programming model for both batch and stream data processing,[ Jan Lukavsky],46.99,12,1.3,English,3,342
Data Analysis For Business Decisions 2E: A Laboratory Manual,[ Andres Fortino PhD],26.49,,,English,1,198
Data Analysis with Mplus (Methodology in the Social Sciences),,39.49,32,,English,5,305
Risk Assessment and Decision Analysis with Bayesian Networks,"[ Norman Fenton,  and , Martin Neil]",87.53,40,3.04,English,4,660
Hands-On Data Science with R: Techniques to perform data manipulation and mining to build smart analytical models using R,"[ Vitor Bianchi Lanzetta, Nataraj Dasgupta, et al.]",39.99,5,1.58,English,3,420
Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques,[ Mike Grigsby],30.16,53,0.82,English,3,240
"How Qualitative Data Analysis Happens: Moving Beyond ""Themes Emerged""","[ Áine Humble,  and , Elise Radina]",35.09,5,0.85,English,3,238
"Clinical Genomics, Second Edition: A Guide to Clinical Next Generation Sequencing","[ Shashikant Kulkarni,  and , Somak Roy]",200,,1.11,English,1,562
Python NumPy for Beginners: NumPy Specialization for Data Science (Python for Beginners in Data Science and Data Analysis Book 1),,9.99,6,,English,2,220
Python Programming for Beginners: 2 Books in 1 - The Ultimate Step-by-Step Guide To Learn Python Programming Quickly with Practical Exercises (Computer Programming),,19.99,196,0.86,English,4,201
Python Programming: 3 Books in 1: The Complete Beginner’s Guide to Learning the Most Popular Programming Language,[ Dylan Penny],25.1,105,1.46,English,4,330
Categorical Data Analysis,[ Alan Agresti],113.19,61,3.15,English,4,752
Data-Driven HR: How to Use Analytics and Metrics to Drive Performance,[ Bernard Marr],6.99,62,0.91,English,3,264
The Pandas Workshop: A comprehensive guide to using Python for data analysis with real-world case studies,"[ Blaine Bateman, Saikat Basak, et al.]",49.99,13,2.77,English,4,744
"Statistical Methods for Categorical Data Analysis, 2nd Edition","[ Yu Xie,  and , Daniel Powers]",92.85,10,1.5,English,5,200
"Python Data Analysis: Perform data collection, data processing, wrangling, visualization, and model building using Python, 3rd Edition","[ Avinash Navlani, Armando Fandango, et al.]",34.99,50,1.79,English,4,478
R for Data Analysis in easy steps - R Programming essentials,,12.99,136,0.95,English,3,192
"Learning Tableau 2022: Create effective data visualizations, build interactive visual analytics, and improve your data storytelling capabilities, 5th Edition","[ Joshua N. Milligan, Blair Hutchinson, et al.]",43.09,29,2.12,English,5,566
"Data Science in Context: Foundations, Challenges, Opportunities","[ Alfred Z. Spector, Peter Norvig, et al.]",39.99,3,1.59,English,5,335
"Data Structures and Algorithm Analysis in Java, Third Edition (Dover Books on Computer Science)",,10.64,22,2.3,English,2,608
The Statistical Sleuth: A Course in Methods of Data Analysis,"[ Fred Ramsey,  and , Daniel Schafer]",127.98,73,2.95,English,3,784
Deep Learning: A Comprehensive Guide to Python Coding and Programming Machine Learning and Neural Networks for Data Analysis (Python Programming Deep Learning),,4.97,22,,English,4,287
"Bayesian Data Analysis in Ecology Using Linear Models with R, BUGS, and Stan","[ Franzi Korner-Nievergelt, Tobias Roth, et al.]",59.96,5,1.5,English,4,328
"Numerical Methods Using Kotlin: For Data Science, Analysis, and Engineering",[ Haksun Li  PhD],54.68,,1.11,English,1,234
"Data Analyses: Detailed, Scientific, and Business-Oriented Data Reading Skills","[ Benjamin Farrar,  and , Ryan Simpson]",,,,,1,0
Pandas for Everyone: Python Data Analysis (Addison-Wesley Data & Analytics Series),,17.27,274,,English,4,406
"Introduction to Algorithms, 3rd Edition (The MIT Press)","[ Thomas H. Cormen, Charles E. Leiserson, et al.]",78.49,2240,4.95,English,4,0
Data Analysis with Microsoft Power BI,[ Brian Larson],42.7,12,1.7,English,2,544
Escape from Model Land: How Mathematical Models Can Lead Us Astray and What We Can Do About It,[ Erica Thompson],30,1,0.97,English,5,256
"Mastering pandas: A complete guide to pandas, from installation to advanced data analysis techniques, 2nd Edition",[ Ashish Kumar],21.09,11,,English,3,489
Excel Tips & Tricks (Quick Study Computer),[ Inc. BarCharts],5.95,1984,0.15,English,4,6
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,[ Paul Houghton],44.99,10,1.38,English,3,366
Big and Complex Data Analysis: Methodologies and Applications (Contributions to Statistics),,77,,,English,1,400
Expert Data Modeling with Power BI: Get the best out of Power BI by building optimized data models for reporting and business needs,"[ Soheil Bakhshi,  and , Christian Wade]",46.53,50,2.28,English,5,612
"The Esri Guide to GIS Analysis, Volume 1: Geographic Patterns and Relationships (The Esri Guide to GIS Analysis, 1)",,31.99,26,1.6,English,4,312
Data Visualization: A Practical Introduction,[ Kieran Healy],42,206,1.6,English,4,296
"Applied Spatial Data Analysis with R (Use R!, 10)",,74.04,29,1.42,English,4,423
